,county,sd_date,shelter_in_place,asthma,prop_diabetes,CHD_hosp,ob_prev_adj,hypertension_hosp,prop_food_stamp_SNAP_recip,median_HHI,income_inequal,prop_poverty,unemployment_rate,annual_PM2.5,prop_uninsured,prop_medicaid_eligible,education,housing_density,atl_dist,pop,age,white,black,hispanic,indigenous,asian,partisan,commute_out,commute_in,range_mob,range_sip,auc_mob,auc_sip,min_mob,max_sip,end_mob,end_sip,first_case,cases_4wks,cases,deaths,deaths_6wks
1,appling,3/16/2020,4/3/2020,230.7,16.2,61.2,35.7,130.5,19,38,0.466,19.7,5.2,10.6,17.6,28.2,75.1,16.8,297213.9717,9.825904318,0.011357045,0.77257254,0.20721889,0.102447722,0.009347814,0.009617982,0.597738288,0.377478792,0.40319879,0.03207581,0.03207581,2781,23.25206336,82,0.747825505,100.8571429,0.838623517,3/25/2020,47,88,12,10
2,atkinson,3/24/2020,4/3/2020,456.2,12.4,93.4,31.8,170.4,22.4,33.3,0.496,26.4,4.5,10.4,24.2,32.8,69.9,10.4,307845.3859,9.023649283,0.009221849,0.77172472,0.185729782,0.249728818,0.022056165,0.010847294,0.491276764,0.402796191,0.269012896,-0.01155939,-0.01155939,2865,23.50810534,88,0.765567766,107.4285714,0.839855124,4/7/2020,14,20,2,2
3,bacon,3/16/2020,4/3/2020,617.1,17.4,54.8,32.7,89.6,20.8,36.9,0.425,22.9,4.1,10.4,18.6,27.6,82.5,18.6,304656.9443,9.322328874,0.010453575,0.803486813,0.179436746,0.087080912,0.007331247,0.008404113,0.739425587,0.408046491,0.39606616,-0.013321874,-0.013321874,3172,23.66833858,78,0.78988764,108.5714286,0.850324045,3/29/2020,21,32,2,1
4,baker,3/18/2020,4/3/2020,487.1,17.9,60.2,31.7,146,33.1,35.5,0.468,27.8,6.3,10.8,16.1,23.8,77.6,4.8,270290.2047,8.03657341,0.0144689,0.522962484,0.456015524,0.060478655,0.008085382,0.012613195,0.168600155,0.403622251,0.216364812,0.038513257,0.038513257,NA,22.56633242,NA,0.725403818,NA,0.815350101,3/24/2020,20,29,1,2
5,baldwin,3/22/2020,4/3/2020,613.4,10.7,76.6,33.9,138.1,20.2,40.7,0.499,26,5.8,11.4,15,21.3,82,78.2,130242.9945,10.71047668,0.010512128,0.540369899,0.43377284,0.022265355,0.006670682,0.019655088,-0.003709389,0.352051402,0.367088325,0.023989106,0.023989106,3063,22.64922761,94,0.727272727,108.2857143,0.785422548,3/21/2020,108,270,16,8
6,banks,3/24/2020,4/3/2020,300.6,9.4,78.4,31.1,164.3,14.9,43.4,0.395,15.5,3.9,10.4,17.2,21.9,77,32.7,105776.7954,9.85156248,0.011243275,0.936696861,0.036128081,0.0711502,0.014008848,0.013324205,0.803415061,0.405361281,0.236201812,0.023155949,0.023155949,3074,22.80061579,93,0.745484401,126,0.809660556,3/30/2020,17,35,0,0
7,barrow,3/24/2020,3/31/2020,391.7,17,76.9,34.9,162.3,18.2,54.9,0.393,12.9,4.1,11.1,17.1,21.6,83.2,164.7,67720.71977,11.29984362,0.008413017,0.805838459,0.138685047,0.115296564,0.011916989,0.044017374,0.483926291,0.390463933,0.218577139,-0.021728797,-0.021728797,3130,23.24736078,90,0.750230019,100.2857143,0.837138438,3/18/2020,66,191,9,4
8,bartow,3/24/2020,3/27/2020,469.4,12.7,101.4,34.7,191.2,16.7,52.5,0.438,15.1,4.6,11.2,16.3,22,82.7,86.7,68273.26736,11.57503604,0.009467191,0.849024509,0.124407939,0.087944515,0.012630629,0.014190662,0.532696271,0.413042252,0.349090294,-0.003817472,-0.003817472,3023,23.27231509,84,0.76077231,99.71428571,0.831122834,3/12/2020,196,360,36,27
9,ben hill,3/24/2020,4/3/2020,710,11.7,87.5,33.5,160.7,28.3,32.6,0.457,26.4,7.2,10.7,15.4,34.4,81.4,31.8,247344.0301,9.728360056,0.011469538,0.60999583,0.369333413,0.062250551,0.011020432,0.010305594,0.280511988,0.358074701,0.363733842,-0.008894922,-0.008894922,2843,23.3633285,54,0.768292683,90.85714286,0.835637929,3/24/2020,19,38,1,0
10,berrien,3/24/2020,4/3/2020,540.8,12,85.5,33.5,168.6,22.5,39.2,0.439,22.3,5.1,10.8,17.1,28.1,80.1,19.3,296410.4106,9.86537023,0.011420415,0.86053397,0.117026802,0.049189695,0.008154997,0.014440058,0.706014075,0.337575317,0.202576356,0.076656037,0.076656037,2459,21.52391511,59,0.683738192,86,0.75447827,3/30/2020,15,19,0,0
