"","county","social distancing","shelter-in-place"
"1","appling","    NA","    NA"
"2","atkinson"," 10.13"," 10.90"
"3","bacon"," 19.20"," 10.25"
"4","baker","    NA","    NA"
"5","baldwin"," 30.08"," 25.55"
"6","banks","  8.93"," 17.25"
"7","barrow","-16.27","-10.55"
"8","bartow","-13.77"," -4.94"
"9","ben hill","  2.93","  8.50"
"10","berrien"," -7.17"," -3.75"
"11","bibb"," -8.57"," -8.40"
"12","bleckley","-18.87","-17.20"
"13","brantley","-15.52","-18.45"
"14","brooks","-16.57","-12.15"
"15","bryan","-18.72","-19.95"
"16","bulloch"," 29.88"," 17.85"
"17","burke","  4.35"," -3.35"
"18","butts"," -8.92"," -1.75"
"19","calhoun","    NA","    NA"
"20","camden","-10.52","-12.30"
"21","candler"," -0.62","  4.30"
"22","carroll","-15.07"," -9.41"
"23","catoosa","-10.87"," -6.20"
"24","charlton","-17.52","-14.85"
"25","chatham","-10.18","-19.70"
"26","chattahoochee","    NA","    NA"
"27","chattooga","-17.22"," -6.75"
"28","cherokee","-33.67","-28.11"
"29","clarke"," 29.23"," 14.29"
"30","clay","    NA","    NA"
"31","clayton","-26.01","-34.41"
"32","clinch"," -0.62","  8.65"
"33","cobb","-30.33","-32.06"
"34","coffee","  9.83"," 13.45"
"35","colquitt"," -3.72","  2.80"
"36","columbia","-10.92"," -9.95"
"37","cook"," -5.87"," -3.80"
"38","coweta","-16.22","-11.60"
"39","crawford"," -3.37"," -7.75"
"40","crisp","  5.13","  3.90"
"41","dade","-10.47"," -3.10"
"42","dawson","-14.87"," -9.15"
"43","decatur","  3.18","  8.45"
"44","dekalb","-39.46","-44.82"
"45","dodge","  1.58","  4.80"
"46","dooly"," 20.48"," 27.50"
"47","dougherty","-21.97","-14.85"
"48","douglas","-28.12","-22.48"
"49","early","-19.97","-14.47"
"50","echols","  8.58"," 18.35"
"51","effingham","-11.62","-10.50"
"52","elbert","  1.93","  8.40"
"53","emanuel"," -3.02"," -4.20"
"54","evans","  1.13","  2.75"
"55","fannin"," -2.22"," -3.00"
"56","fayette","-25.77","-20.30"
"57","floyd"," -2.32","  3.18"
"58","forsyth","-28.92","-24.50"
"59","franklin","  6.58"," 11.75"
"60","fulton","-25.40","-36.02"
"61","gilmer"," -3.67","  1.00"
"62","glascock","    NA","    NA"
"63","glynn"," -4.37"," -4.20"
"64","gordon"," -1.37","  9.30"
"65","grady"," -6.97"," -6.25"
"66","greene","-16.07"," -7.25"
"67","gwinnett","-31.53","-33.34"
"68","habersham"," -0.12","  6.41"
"69","hall","-11.42"," -6.00"
"70","hancock","    NA","    NA"
"71","haralson","  6.83"," 13.40"
"72","harris","  5.23","  8.75"
"73","hart"," -5.87"," -0.80"
